address,category,date,title
台北市菸廠路88號,Learning,2016/12/18 14:00,【富邦講堂】《大地行走───池上．駐村．蔣勳》
台北市館前路49號,Learning,2017/01/06 00:00,12個故事角色形象 打造有型品牌 基礎篇(12/19台北)
台北市敦化南路2段198號,Learning,2016/12/17 13:30,[UiGathering 201612 活動] 豈止體驗
台北市大同區太原路97巷13號,Learning,2016/12/18 18:00,字戀小聚 Pro#35：打字年代讓 emoji 代表你的奇蒙子
台北市內湖區洲子街196號,Learning,2016/12/21 09:00,工作坊：為您的公司建立網站和電子信箱 12/21
台北市 / 報名後將於12月1號,Learning,2016/12/17 14:00,認識九型人格覺察自我
台北市南港區研究院路二段 128 號,Learning,2016/12/21 14:00,台灣資料科學年會之系列活動 - Data Exploration with Modern R
台北市內湖區洲子街196號,Learning,2016/12/29 10:00,工作坊：為您的公司建立網站和電子信箱 12/29
臺北市信義區松仁路9號,Learning,2016/12/21 13:30,【財務長菁英論壇－談管理，看趨勢！】第二場 看趨勢
台北市中山區松江路350號,Learning,2016/12/29 19:40,＂告別句點王＂ 聊天聊出好業績(台北5班)
"台北市大安區 / 台北市大安區信義路三段147巷11弄6-1號(近捷運大安站,淡水信義線1號",Learning,2016/12/28 19:00,主題沙龍 : 12/28(三)_ 2016年Inwis大數據應用沙龍回顧與分享
台北市光復南路 102 號 14 樓，近國父紀念館捷運站 5 號出口） / 台北市光復南路 102 號,Learning,2016/12/17 09:00,【橘子學院】你也可以成為數據科學家！Google Analytics 數據分析全修學程
台北市大安區永康街17巷2號 (東門捷運站5號,Learning,2016/12/17 10:00,用日文讀廣告文案
台北市松山區八德路三段12巷16弄3號,Learning,2016/12/16 19:00,你追我跑的愛：為何付出這麼多還是不幸福？
台北市南港區研究院路二段 128 號,Learning,2016/12/18 09:00,台灣資料科學年會之系列活動 - 18/12/2016 (日)
台北市中正區衡陽路 7 號 5 樓) /  台北市中正區衡陽路 7 號,Learning,2016/12/30 19:00,【OGP Summit 系列分享會】 開放政府中的公民力量
台北市信義區虎林街132巷24號,Learning,2016/12/18 14:00,GOOGLE關鍵字行銷金頭腦 SEO+關鍵字廣告馬上懂
台北市南京東路2段97號,Learning,2016/12/18 09:30,一天搞懂GTM（Google Tag Manager）
台北市中正區南陽街13號,Learning,2016/12/17 18:30,免費講座-打動人心！用產品設計改變全世界
台北市內湖區洲子街196號,Learning,2016/12/22 09:00,工作坊：為您的公司建立網站和電子信箱 12/22
台北市內湖區洲子街196號,Learning,2016/12/20 14:00,工作坊：為您的公司建立網站和電子信箱 12/20(提供晚上課程)
台北市內湖區瑞光路408號,Learning,2016/12/20 19:30,Cat System Workshop #14 Dominator Tree in Compiler Optimization
台北市中正區衡陽路七號,Learning,2016/12/20 19:00,Taipei.rb 201612：紅寶石工程師在澳洲生存之道
台北市南京東路2段97號,Learning,2016/12/22 19:30,不要相信上帝之數據世界
台北市大安區光復南路102號,Learning,2016/12/20 19:30,Golang Taipei Gathering #19
台北市中正區南陽街13號3樓 /  台北市中正區南陽街13號,Learning,2016/12/24 14:00,免費講座-PhotoShop靈感技法計畫
台北市中山區南京東路三段68號,Learning,2016/12/31 14:00,免費講座★美國選後的亞洲投資策略★海外房地產聯合說明會★馬來西亞、菲律賓、成都、依斯干達★
台北市內湖區洲子街196號,Learning,2016/12/27 14:00,工作坊：為您的公司建立網站和電子信箱 12/27(提供晚上課程)
台北市內湖區洲子街196號,Learning,2016/12/28 09:00,工作坊：為您的公司建立網站和電子信箱 12/28
台北市中山區南京東路三段68號,Learning,2016/12/24 14:00,免費講座★美國新政的東協策略與英國投資趨勢★海外房地產聯合說明會★英國、泰國、馬來西亞★
台北市菸廠路88號,Learning,2016/12/24 14:00,【富邦講堂】《留白與前進：下一個美好20年》汪麗琴
台北市松山區敦化北路240號,Learning,2017/01/06 23:50,2016/12/28【CEMA 2016卓越研討會－數位金融FinTech新時代來臨，如何激發新科技的創新能力】
台北市信義區信義路五段 7 號,Learning,2016/12/28 13:30,2016 交大資工企業參訪 - Google
台北市大安區敦化南路二段2號,Learning,2016/12/24 14:00,TWJUG 2016 十二月份聚會
台北市內湖區洲子街196號,Learning,2016/12/24 14:00,介紹 GitLab.com 
台北市大同區承德路三段232號,Learning,2016/12/24 14:00,【讀書會】就是那個光！——讀《迎向靈光消逝的年代》
臺北市大安區羅斯福路二段136號,Learning,2016/12/24 14:00,免費2.5小時陳光 NBU記憶體擴充法-12/24基礎班
台北市大安區忠孝東路四段107號9樓之1 / 台北市大安區忠孝東路四段107號,Learning,2016/12/27 18:30,免費講座-PhotoShop靈感技法計畫
台北市中正區金門街12巷7號,Learning,2016/12/11 19:00,轉身後的幸福：一次擁抱內在的旅行！— 情緒舒放療癒練習
台北市中正區市民大道三段2號,Learning,2016/12/11 18:30,2016電腦科學教育週 Hour of Code一小時玩程式（台北視障者體驗場 ＆ 徵求活動志工）
台北市南京東路2段97號,Learning,2016/12/17 21:30,創業時應該知道的十件事
台北市內湖區洲子街196號,Learning,2017/02/28 15:50,工作坊：為您的公司建立網站和電子信箱 12/6(提供晚上課程)
台北市中正區市民大道三段2號,Learning,2016/12/08 13:30,12/8 銓鍇國際攜手AWS掌握雲端關鍵，助企業平步青雲
台北市忠孝東路五段68號,Learning,2016/12/15 14:30,一步進入工業 4.0 世界！製造業數位轉型入門六堂課
台北市中正區八德路一段 94 號,Learning,2016/12/15 19:00,公民科學來襲 人人都是科學家！
台北市萬華區武昌街二段122-1號,Learning,2016/12/15 19:00,Wikiwomen Taiwan「薇姬的房間」十二月第22次聚會
台北市中正區羅斯福路二段68號,Learning,2016/12/04 22:30,小熊動動腦了沒!~[4-8歲免費體驗]
台北市重慶南路一段66號9樓 / 台北市重慶南路一段66號,Learning,2016/12/08 19:00,免費講座-揭秘英國第一汽車工業設計！
台北市重慶南路一段66號9樓 / 台北市重慶南路一段66號,Learning,2016/12/07 19:00,免費講座-純粹北歐．極光下的產品設計
台北市博愛路52號,Learning,2016/12/15 19:00,[2016/12/15開課!]《人際回應力-看懂情緒，輕鬆對談》~(第12期)
台北市信義區光復南路133號,Learning,2016/12/08 09:00,Pan Asia Model United Nations 2016 Delegate Registration
台北市內湖區洲子街196號,Learning,2016/12/07 09:00,工作坊：為您的公司建立網站和電子信箱 12/7
台北市大安區信義路三段153號,Learning,2016/12/09 19:00,Julia Taiwan第一次meetup
台北市中山區民權西路20號,Learning,2016/12/10 12:00,Lesson 16：旅遊創業的冒險 ～ 從台灣到歐洲的服務體驗
台北市民權西路20號,Learning,2016/12/11 14:00,有美家說書會NO.51
台北市內湖區洲子街196號,Learning,2016/12/15 09:00,工作坊：為您的公司建立網站和電子信箱 12/15
台北市內湖區洲子街196號,Learning,2016/12/11 14:00,"""Building Products with FreeBSD"" by George V. Neville-Neil"
台北市復興北路1號3樓之1 / 亞細亞通商大樓 (忠孝復興5號出口) / 台北市復興北路1號,Learning,2016/12/10 13:00,David龔 - 2016 消費者洞察工作坊
