address,category,date,title
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 14:10,PyCon TW 2016 Tutorial - Creating python app with MySQL Router and MySQL Group Replication
台北市信義區光復南路 133 號,Gathering,2016/05/30 19:30,【現代消費生活神殿】菊元百貨的建築空間特色
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 09:00,PyCon Taiwan 2016 Registration [Regular] / 一般票活動報名
台北市長春路137巷3號,Gathering,2016/05/29 14:00,獨立遊戲開發者分享會160529
台北市大同區承德路三段232號,Gathering,2016/05/29 14:00,【好哲凳沙龍】女總統都上台了，女哲學家在哪裡？
台北市大安區羅斯福路四段1號,Gathering,2016/05/29 18:30,SITCON × NTUOSC 臺北定期聚 #29
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 08:20,PyCon Taiwan 2016 Registration [Discount] / 個人優惠票活動報名
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 09:00,PyCon Taiwan 2016 Registration [Invitation] / 邀請票活動報名
台北市南港區研究院路二段 128 號,Gathering,2016/06/05 18:00,PyCon Taiwan 2016 Registration [Student] / 學生優惠票活動報名
台北市南港區研究院路二段 128 號,Gathering,2016/06/03 09:00,PyCon Taiwan 2016 Registration [Speaker] / 講者票活動報名
台北市文山區指南路二段64號,Gathering,2016/06/06 18:00,PyCon Taiwan 2016 PyDay
台北市信義區光復南路 133 號,Gathering,2016/06/13 14:00,【書沙龍：文學與音樂vol.3】寂寞音樂考
台北市信義區光復南路 133 號,Gathering,2016/09/30 20:30,【書沙龍：設計與閱讀vol.3】愛不釋手的舊書
台北市中正區延平南路12號,Gathering,2016/06/16 20:00,C.C. Agile#46 - Cupos圖像思考，讓溝通更有效率
台北市松山區復興北路15號,Gathering,2016/06/19 14:00,不思議な絵本ポケット：兩個繪本迷女生的收藏口袋
台北市光復南路102號,Gathering,2016/06/16 19:00,Cocoaheads Taipei 2016 六月份聚會 
台北市信義區光復南路 133 號,Gathering,2016/05/27 19:00,【旅行與讀書】島旅的緣分
台北市中山區伊通街66巷17號,Gathering,2016/05/22 20:00,路老闆日本旅遊不私藏講座
台北市內湖區瑞光路408號,Gathering,2016/05/24 19:30,Cat System Workshop #6 Parallelize deep learning on GPUs
台北市中正區延平南路12號,Gathering,2016/05/28 18:00,C.C. Agile#45 - 用模式語言解決設計問題
台北市中正區八德路一段 94 號,Gathering,2016/05/07 14:00,Ubuntu 16.04 Release Party @ Taipei
台北市內湖區瑞光路408號,Gathering,2016/05/10 21:00,Cat System Workshop_No.5
台北市光復南路102號,Gathering,2016/05/12 19:30,Cocoaheads Taipei 2016 五月份聚會 
台北市大安區羅斯福路四段1號,Gathering,2016/05/15 18:30,SITCON × NTUOSC 臺北定期聚 #28
臺北市羅斯福路4段52巷2號,Gathering,2016/05/20 18:00,第一期-五子棋棋會(台北)-105/5/20
台北市內湖區瑞光路408號,Gathering,2016/04/26 21:00,Cat System Workshop_No.4 
台北市大同區承德路三段232號,Gathering,2016/04/24 14:00,【好哲凳沙龍】高中生讀什麼經典？
台北市中山區新生北路三段52號,Gathering,2016/04/23 13:00,2016台北TRPG推廣會 四月場
台北市中正區延平南路12號,Gathering,2016/05/24 23:50,C.C. Agile#44 - 653天的新創心路歷程 - 為何完美的團隊也會失敗？
台北市松山區民生東路三段140巷11號,Gathering,2016/04/22 19:00,WoFOSS 2016/4月第68次聚會
台北市內湖區瑞光路408號,Gathering,2016/04/27 16:00,Cat System Workshop_No.3
台北市光復南路102號,Gathering,2016/04/14 19:00,Cocoaheads Taipei 2016 四月份聚會 
台北市松山區八德路四段123號,Gathering,2016/04/19 19:30,AWS User Group in Taiwan Meetup #10
台北市中正區市民大道三段2號,Gathering,2016/04/09 18:00,《群眾映像管》紀錄片系列活動
台北市中正區八德路一段94號,Gathering,2016/04/09 18:30,SITCON 夏令營 2016 討論聚 #1
台北市松山區敦化南路一段1號,Gathering,2016/03/28 15:40,讓我們一起在夏日穿回自信
台北市信義區信義路五段 106 號,Gathering,2016/04/07 19:20,Test Corner  三秋聚會
臺北市大安區基隆路 4 段 43 號,Gathering,2016/04/07 19:00,台科程式社－第二次社聚
台北市內湖區瑞光路408號,Gathering,2016/04/25 18:00,Cat System Workshop_No.2
台北市長春路137巷3號,Gathering,2016/03/06 21:00,獨立遊戲開發者分享會160306
台北市內湖區瑞光路408號,Gathering,2016/03/08 21:00,Cat System Workshop_首場聚會
台北市光復南路102號,Gathering,2016/03/10 19:00,Cocoaheads Taipei 2016 三月份聚會 
台北市中正區延平南路12號,Gathering,2016/03/10 19:30,C.C. Agile#43 - 重構三兩事 / Teddy Chen
台北市大安區羅斯福路四段1號,Gathering,2016/03/05 18:30,SITCON × NTUOSC 臺北定期聚 #26
台北市長安東路一段61-1號,Gathering,2016/03/15 18:30,【魔法商務交流會】Magic Business Conference
台北市大安區建國南路一段 177 號,Gathering,2016/03/20 16:00,行動多媒體影音資料 商業應用黑客松
台北市大安區羅斯福路四段1號,Gathering,2016/03/23 19:00,SITCON × NTUOSC 臺北定期聚 #27
臺北市大安區基隆路 4 段 43 號,Gathering,2016/03/21 18:30,台科程式社三月社聚
台北市內湖區洲子街79-1號,Gathering,2016/03/23 19:00,咖啡饗宴你的味蕾
台北市八德路一段1號,Gathering,2016/02/13 13:00,2/14 SNAP! 帥氣 POLAROID 拍立得 限定閃照《黑生起司 POP UP@華山1914》
台北市光復南路102號,Gathering,2016/02/18 19:30,Cocoaheads Taipei 2016 二月份聚會 
台北市中正區延平南路12號,Gathering,2016/02/18 21:00,C.C. Agile#42 - 在設計、數據、使用者中找對問題 / Hans Shih
台北市110 松仁路7 號,Gathering,2016/02/24 19:30,Microsoft × Raspberry Pi.Taiwan ×  Raspberry.Taipei 社群聚會 #13
台北市中正區八德路一段 94 號,Gathering,2016/02/28 14:00,YSITD 第一次線下聚
台北市大同區承德路三段 232 號,Gathering,2016/02/27 09:00,"BigThing Camp - OpenStack, Hadoop, Ceph 大亂鬥"
台北市大安區建國南路一段166號,Gathering,2016/01/28 18:30,Emacs 打滴 4th x h4
台北市信義區信義路五段 106 號,Gathering,2016/02/02 19:20,Test Corner 第 2 次聚會
台北市中正區重慶南路一段119號,Gathering,2016/01/30 19:00,韓國旅遊文化講座暨《我最愛的怪咖韓國人，你是在演哪一齣？！》簽書會
台北市中正區延平南路12號,Gathering,2016/01/21 19:30,C.C. Agile#41 創造團隊共識的心海羅盤
台北市大安區忠孝東路四段 177 號,Gathering,2016/01/07 19:30,MakerCup - 燒肉吃到飽大食團
台北市長春路137巷3號,Gathering,2016/01/10 14:00,*(Native::Game::Coder[0])
台北市光復南路102號,Gathering,2016/02/04 21:00,Cocoaheads Taipei 2016 一月份聚會 
台北市八德路一段94號,Gathering,2016/01/14 19:00,WP15慶祝維基百科15週年，聯合國編輯松
臺北市大同區承德路三段 232 號,Gathering,2016/01/14 19:30,【Maker Cup】沒有板子也可以玩的 7688 模擬器 x 有了 7688 Duo 人人都能動手做 BLE 應用
台北市八德路一段94號,Gathering,2016/01/15 19:00,加入開放知識運動：慶祝維基百科15週年創立
台北市信義區基隆路2段51號,Gathering,2016/08/21 17:20,WPC「紅葉祭」主視覺暨人氣票選徵稿大賽
